nemultumiri_sist_fiscal,schimbari_sist_fiscal,ce_ofera_sistemul,nemultumiri_sist_fiscal_sentiment,schimbari_sist_fiscal_sentiment,ce_ofera_sistemul_sentiment,nemultumiri_sist_fiscal_prep,schimbari_sist_fiscal_prep,ce_ofera_sistemul_prep
Faptul ca nu vad un mare beneficiu pentru cetățeni sau tara ,Încă nu am cunoștința necesară pentru a da un răspuns realist ,Nesiguranta,0,1,0,fapt mar beneficiu pentru cetaten tar,inca cunostint neces pentru raspuns realist,nesigur
Ma nemultumeste ca tara noastră are una dintre cele mai reduse cote din Europa la impozitul pe venitul persoanelor fizice.,"Pe  partea de venituri as aduce lărgirea bazei de aplicare și creșterea eficienței în colectare.
Pe partea de cheltuieli as aduce creșterea eficienței în alocarea fondurilor, și nu tăierea oarbă a sumelor fără modificarea structurii de utilizare.",Sistemul fiscal actual nu imi ofera deocamdata nimic.,0,0,0,nemultumest tar noastr dintr cel redus cot europ impoz venit persoan fizic,part venitur aduc larg baze aplic crest eficiente colect part cheltuiel aduc crest eficiente aloc fondur taier oarb sum far modific structur utiliz,sist fiscal actual ofer deocamd nimic
Unele taxe si impozite care sunt prea mari ,Nimic,Ne ofera unele servicii realizate din platile pe care le fac contribuabili,1,0,0,une tax impoz car sunt pre mar,nimic,ofer une servic realiz plat car contribu
"Taxele si impozitele sunt cam mari.
",As reduce taxele.,Sistemul fiscal urmăreşte realizarea obiectivelor politicii economice şi sociale a statului.,1,0,1,tax impoz sunt mar,reduc tax,sist fiscal urmar realiz obiect polit econom social stat
Taxele si impozitele sunt prea mari.,Sistemul fiscal romanesc ar avea nevoie de mai multa stabilitate.,Sistemul fiscal actual ne ofera servicii publice.,0,0,1,tax impoz sunt pre mar,sist fiscal roman ave nevoi mult stabil,sist fiscal actual ofer servic public
Coruptia,-,Finanțează serviciile publicei,0,1,1,corupt,,finant servic publice
Taxe si impozitele,taxele si impozitele,facilitati fiscale pentru plata in avans a impozitelor,1,1,0,tax impoz,tax impoz,facil fiscal pentru plat avans impoz
taxe si impozite prea mari,reducerea taxelor,servicii publice,0,0,1,tax impoz pre mar,reduc tax,servic public
Prea multe taxe,Asi reduce taxele.,"Servicile publice administrativa, servicii de protectie sociala, etc.",0,0,1,pre mult tax,reduc tax,servic public administr servic protect social
"Se pierd foarte multi bani fara a fi investiti in ceva bun.
",As reduce din impozite.,Foarte multe taxe inutile,0,0,1,pierd foart mult ban far invest cev,reduc impoz,foart mult tax inut
"Oamenii se tem de sistemul fiscal, lucru care după părerea mea nu ar trebui să fie așa, ci chiar dimpotrivă. Ar trebui să considere un lucru bun și ajutător.","Aș încerca să câștig încrederea angajațiilor, angajatorilor și firmelor din țară pentru că este un lucru foarte important.","Imi oferă dovadă, referitor la impozitele și taxele plătite de către muncitori, fiind renovate numeroase clădiri și se observă piețe în curs de amenajare etc..",1,1,1,oamen sist fiscal lucru car dup parer treb chiar dimpotr treb consid lucru ajut,incerc castig incred angajat angaj firm tar pentru este lucru foart import,ofer dovad refer impoz tax platit catr muncit fiind renov numer cladir observ piet curs amenaj etc 
"- numarul mare de impozite si taxe
- schimbari legislative frecvente
","- acordarea unor facilitati tinerilor care vor sa inceapa o afacere
- alocatii mai mari pentru copii
- un sistem de pensii mai echilibrat
- acordarea mai multor burse sociale
","- asigura finantarea domeniului de utilitate publica (scoli, sanatate, institutii publice, etc.)
- asigura protectie sociala",0,0,1,numar mar impoz tax schimbar legisl frecvent,acord unor facil tiner car inceap afac aloc mar pentru cop sist pens echilibr acord multor bur social,asigur finant domen util public scol sanat instit public asigur protect social
Tot.,Banii.,Nimic.,1,1,0,,ban,nimic
Statul uneori in loc sa te ajute precum in alte state cum e in norvegia se comporta cu o firma ca si cu un copil daca vede ca nu te descurci te lasa in pace o vreme pana iti revii apoi vei plati iar taxe nu vor sa piarda pe cei care ofera locuri de munca si platesc taxe,firmele mari sa plateasca impozit pe venit si cele mici si mijlocii pe profit,"cam nimic important, minimul din ce ar fi normal intr-un stat ",0,0,0,stat uneor ajut precum alte stat norveg comport firm copil dac ved descurc las pac vrem pan rev apo plat tax piard car ofer locur munc plat tax,firm mar plateasc impoz venit cel mic mijloc profit,nimic import min normal intr un stat
-incertitudinea; se schimba de la zi la alta,"reducerea numarului de taxe si impozite
incuranjarea investitiilor ",o reducere a cotei de impozit ,0,0,0, incertitudin schimb alta,reduc numar tax impoz incuranj invest,reduc cote impoz
"Faptul că nu se exprimă public toate cheltuielile și veniturile reale ale statului, astfel consideram ca contribuim mult la formarea venitului și rezultatele cheltuirii acestora sunt mici și puține.","De exemplu, scaderea TVA-ului nu e tocmai benefică pentru stat și nici pentru cetățeni prea mult, ci mai degrabă pentru societățile comerciale plătitoare de TVA ce în locul procentajului de 4℅ TVA dinainte, au crescut cu acest procentaj adaosul lor comercial. Astfel consider ca acesta modificare nu aduce avantaje nici statului nici cetățenilor prea mult deoarece prețurile produselor și a serviciilor nu au prea scăzut.
Iar în legătură cu creșterea salarului minim pe economie nu consider ca e o nevoie acest lucru deoarece această modificare va atrage după ea și creșterea prețului traiului zilnic.",Facilitați școlare,0,0,1,fapt exprim public toat cheltuiel venitur real stat astfel consider contribu mult form venit rezult cheltuir acestor sunt mic putin,exemplu scad tva tocm benef pentru stat nic pentru cetaten pre mult degrab pentru societat comercial platit loc procentaj dinaint crescut acest procentaj adaos comercial astfel consider acest modific aduc avantaj nic stat nic cetaten pre mult deoarec pretur prod servic pre scazut legat crest salar min econom consider nevoi acest lucru deoarec aceast modific atrag dup crest pret trai zilnic,facilitat scol
"superficialitatea lor, taxele si impozitele sunt din ce in ce mai mari, si se pun taxe si impozite pe cat de multe lucruri",e greu sa schimbi tot sistemul fiscal din cauza celor care au stricat deja totul in primul rand as taia raul de la radacina as da tot personalul afara ,"nimic, dimpotriva ne ia totul, imediat si aerul  !!!",0,0,0,superficial tax impoz sunt mar tax impoz mult lucrur,greu schimb sist fiscal cauz celor car stricat dej tot prim rand tai raul radacin personal afar,nimic dimpotr tot imed aer
-,-,-,1,1,1,,,
Modificarea desa a valorii impozitului,Valoarea,O multitudine de taxe,0,0,1,modific des valor impoz,valoar,multitudin tax
Taxa timbrului de mediu auto,As modifica impozitele si taxele in funcție de puterea cetățenilor de a le plăti. Cei săraci sa plătească mai putin si invers. ,Toate serviciile publice,0,0,1,tax timbr mediu auto,modif impoz tax funct puter cetaten plat sarac plat putin invers,toat servic public
Prea multe taxe,As scoate din taxe,Multe taxe si impizite,0,0,1,pre mult tax,scoat tax,mult tax impiz
Nimic,Pentru moment l-as lasa asa cum este,Stabilitate financiara,0,1,0,nimic,pentru moment l as las este,stabil financiar
Credibilitatea,Transparenta,"Indirect, sustine crearea locurilor de munca pentru tineri",1,0,1,credibil,transparent,indirect sustin crear locur munc pentru tiner
Taxele de consumatie(accizele) ridicate la carburanti,As reduce nivelul supra accizei la carburanti,Neincredere in cei care il conduc,0,0,0,tax consumat acciz ridic carbur,reduc nivel supr accize carbur,neincred car conduc
 , , ,1,1,1,,,
faptul că un contribuabil cinstit suporta costul social al evaziunii fiscale,"as schimba intregul sistem fiscal, de calcul a taxelor si impozitelor",imi ofera servicii publice,0,0,1,fapt contribu cinstit suport cost social evaziun fiscal,schimb intreg sist fiscal calc tax impoz,ofer servic public
Cheltuirea iresponsabila a fondurilor culese de la cetateni.,Raspunsul este evident din intrebarile anterioare.,"Nu prea multe . Lipsurile sunt clare si evidente peste tot in jurul nostru. De la drumuri si sosele,la locuri de munca.",0,1,0,cheltu irespons fondur cul cetaten,raspuns este evident intrebar anterioar,pre mult lipsur sunt clar evident pest jur nostru drumur sos locur munc
Am impresia ca banii din buget reprezentând colectarea taxelor și impozitelor se duc pe apa sâmbetei.,Cu siguranță o mai bună încasare a taxelor și a impozitelor. Reducerea evaziunii fiscale. Reducerea birocrației,Taxe și impozite mult prea mari pentru o țară ca România.,0,1,0,impres ban buget reprezent colect tax impoz sambete,sigurant bun incas tax impoz reduc evaziun fiscal reduc birocrat,tax impoz mult pre mar pentru tar roman
Impozite si taxe mari,-,-,0,1,1,impoz tax mar,,
"Taxele si impozitele prea mari 
Nu beneficiem de serviciile publice pe care le platim , asa cum ar trebui
Functionarul public nu are competentele necesare pentru a interactiona corect cu contribuabilu
Administratiile financiare sunt ineficiente, se incurca in proceduri si nu comunica intre ele.
Proceduri  complicate pentru deducerea TVA","Simplificarea legislatiei si a raportarilor fiscale,  implementarea unui mod de calcul simplu si usor de inteles atat pentru contributiile sociale, cat si pentru impozite si taxe.
 Reducerea TVA si a contributiilor sociale precum si simplificarea procedurilor de inregistrare in scop de TVA
As incerca sa ofer mai multe locuri de munca, servicii publice de calitate","Birocratie excesiva,numar mare de taxe si impozite fiscale,proceduri  complicat",0,1,0,tax impoz pre mar benefic servic public car plat treb functionar public competent neces pentru interaction corect contribuabilu administr financiar sunt ineficient incurc procedur comun intre procedur complic pentru deduc,simplific legisl raportar fiscal implement unu calc simplu usor inteles atat pentru contrib social pentru impoz tax reduc contrib social precum simplific procedur inregistr scop incerc ofer mult locur munc servic public calitat,birocrat exces numar mar tax impoz fiscal procedur complic
"Instabilitatea taxelor și impozitelor, nestimularea contribuabilului de a-și achita datoriile sale față de stat, necrearea unei baze de date care să urmărească activitatea fiecărui contribuabil pentru a identifica mai ușor eventualele sustrageri de la plată, ilegalități și neimplicarea activă a statului în aplicarea de sancțiuni pentru cei care nu își îndeplinesc obligațiile față de stat.","Încurajarea muncii sau crearea de noi locuri de muncă prin impozitarea mai mică. Poate ar trebui sa se aplice taxe și impozite mai mici în general, pentru a vedea daca ar crește numărul contribuabililor care își achita datoriile față de stat sau aplicarea unor sancțiuni dure bazate pe controale efecutate cât mai des pentru a fi descurajat să comită ilegalității sau sustrageri.
In ceea ce privește parte pozitivă banii colectații în venituirile statului ar trebui investiți în principal în domeniile cele mai vizibile și accesibile omului pentru ca acesta sa aibă încredere că taxele pe care le plătește îi asigură un confort, cum ar fi infrastructură, sănătate.","Nu oferă, doar cere taxe și impozite, care nu sunt investite nici în infrastructură, nici în domeniul sănătății și nici în alte domenii sau și daca există investiții din aceste venituri colectate ele sunt foarte puțin vizibile.",0,1,0,instabil tax impoz nestimul contribu a si achit dator sal fat stat necrear une baz dat car urmar activ fiecar contribu pentru identif usor eventual sustrager plat ilegalitat neimplic activ stat aplic sanctiun pentru car indeplin obligat fat stat,incuraj munc crear locur munc prin impozit mic poat treb aplic tax impoz mic general pentru ved dac crest numar contribu car achit dator fat stat aplic unor sanctiun dur bazat controal efecut pentru descuraj comit ilegalitat sustrager cee privest part pozit ban colectat venituir stat treb investit principal domen cel vizib accesib om pentru acest aib incred tax car platest asig confort infrastruct sanat,ofer doar cer tax impoz car sunt invest nic infrastruct nic domen sanatat nic alte domen dac exist investit acest venitur colect sunt foart putin vizib
sistemul fiscal romanesc necesita reformare suplimentara,nu stiu,multe taxe ,0,0,1,sist fiscal roman neces reform suplimentar,stiu,mult tax
neegalitatea,introducerea unor cote diferentiate pentru impunerea profitului si a veniturilor de orice natura ,"in momentul de fata este plina de contradictii, deci exista rost de mai bine",0,1,1,neegal,introduc unor cot diferent pentru impun profit venitur oric natur,moment fat este plin contradict dec exist rost bin
Taxele nu sunt colectate de la marii evazionisti...,Scaderea cotelor de taxe si impozite,"Nimic... Desi in ultima perioada se doreste eficientizarea colectarii taxelor, banii colectati nu se vad in investitii, de exemplu infrastructura( drumuri proaste, lipsa autostrazilor etc)",0,0,0,tax sunt colect mar evazionist,scad cot tax impoz,nimic des ultim perioad dorest eficientiz colectar tax ban colect invest exemplu infrastructur drumur proast lips autostraz
Ipocrizia si asa zisa neputinta (indusa) sau delasarea organelor fiscale.,"Clarificarea si armonizarea legilor si taxelor. Crosetarea lor pentru cerintele antreprenorului de rand roman si a contribuabililor, pornite de la baza sistemului pana la varful piramidei si nu decizii luate din pix pe proiecte facute pe genunchi de diferite personalitati care nu   
au tangenta cu realitatea actuala.","Cu cateva ajustari, chiar perspectivele unui viitor mai bun in tara.",0,0,1,ipocriz zis neputint indus delas organ fiscal,clarific armoniz leg tax croset pentru cerint antreprenor rand roman contribu pornit baz sist pan varf piramide deciz luat proiect facut genunch difer personal car tangent realitat actual,catev ajustar chiar perspect unu viitor tar
"ca nu sprijina agricultura, ca nu diminueaza marimea importurilor si ca nu sustine antreprenorii romani","as modifica cotele impozitelor si as face mai transparent modul de cheltuire a veniturilor,astfel populatia ar avea incredere si ar plati impozitele,s-ar reduce evaziunea fiscala","obligatia de a plati taxe si impozite, adica are multe deficiente",0,0,1,sprijin agricultur diminueaz marim importur sustin antreprenor roman,modif cot impoz fac transparent mod cheltu venitur astfel populat ave incred plat impoz s ar reduc evaziun fiscal,obligat plat tax impoz adic mult deficient
"La impozitul total pe profitul companiilor, România are o cotă situată sub media europeană. ",As diminua impozitele pe salarii,taxe mari pentru persoanele fizice,0,0,1,impoz total profit compan roman cot situat medi european,diminu impoz salar,tax mar pentru persoan fizic
Taxele care sunt prea mari.,"As reduce din taxe si impozite, sau cel putin le-as micsora.",Activitățile medicale oferite gratuit.,0,0,1,tax car sunt pre mar,reduc tax impoz putin le as micsor,activitat medic ofer gratuit
"Taxele și impozitele mari raportate la veniturile din România, mai ales raportate la salariul minim pe economie.","Consider că ar fi ideal să fie impozitele mai mici, în special impozitul/venit deoarece o mare parte a populației trăiește dintr-un salariu minim pe economie ( iar salarul net este foarte mic ).","Tinand cont de faptul că nu am niciun venit si nu platesc taxe si impozite, as putea spune ca nu am o ”relatie” cu sistemul fiscal.",0,0,1,tax impoz mar raport venitur roman ales raport salar min econom,consider ideal impoz mic special impozitul ven deoarec mar part populat traiest dintr un salariu min econom salar este foart,tinand cont fapt niciun venit plat tax impoz put spun relat sist fiscal
Taxele și impoxitele ridicate,Aș reduce taxele,Nimic. Puțină dezvoltare socială,0,0,0,tax impox ridic,reduc tax,nimic putin dezvolt social
scad pe de o parte unele taxe si cresc pe de alta parte altele,As schimba  cota unica de impozitare a veniturilor in impozitarea progresiva,Dupa parerea mea noi suntem cei care oferim mai mult sistemului fiscal decat beneficiile pe care ni le ofera acest sistem,0,0,1,scad part une tax cresc alta part alte,schimb cot unic impozit venitur impozit progres,dup parer sunt car ofer mult sist fiscal decat benef car ofer acest sist
"Taxe prea mari platite de contribuabili, care nu se reflecta foarte mult in serviciile oferite de stat pentru cetatean.",Modul de organizare si de colectare a taxelor. De exemplu cota impozitului pe profit sa difere in functie de marimea bazei impozabile.,O stabilitate destul de relativa avand in vedere modificarile dese ale reglementarilor Codului Fiscal. ,0,1,0,tax pre mar platit contribu car reflect foart mult servic ofer stat pentru cetatean,mod organiz colect tax exemplu cot impoz profit difer funct marim baze impoz,stabil dest relat avand veder modificar des reglementar cod fiscal
Taxe și impozite prea mari.,"Mai multă transparență, predictibilitate, adică o bună stabilitate. Mai puțină birocrație. O încurajare a investițiilor și chiar diminuarea cotelor taxelor. ",Protecție socială. ,0,1,1,tax impoz pre mar,mult transparent predict adic bun stabil putin birocrat incuraj investit chiar diminu cot tax,protect social
Nu stiu ...,"Scaderea TV, ajutarea tinerilor antreprenori mai mult si un control mai riguros.",Pana acum nimic ?,0,0,1,stiu,scad ajut tiner antreprenor mult control rigur,pan acum nimic
"-impozitul pe TVA este foarte mare comparativ cu alte țări din UE
-instabilitatea cadrului legislativ privind sistemul fiscal
-lipsa unui dialog coerent între autoritățile fiscale și contribuabili
-plata unor impozite fără a benificia ulterior de serviciul aferent impozitului","-aș reduce cotele de impozit care au un efect negativ asupra investițiilor.
-aș acorda facilități fiscale care să ofere un avantaj real contribuabilui.
-aș introduce un sistem fiscal bazat pe sistemele informatice
-aș reduce impozitele aferente stimulării consumului intern
-aș reduce numărul de taxe și plățile aferente","-o cotă redusă a impozitelor directe comparativ cu U.E
-scutirea de taxe și impozite pentru anumiți contribuabili 
-amenzi mari pentru neplata obligațiilor fiscale
",0,1,1, impoz este foart mar compar alte tar instabil cadr legisl priv sist fiscal -lips unu dialog coerent intre autoritat fiscal contribu -plat unor impoz far benific ulterior servic aferent impoz,reduc cot impoz car efect negat asupr investit acord facilitat fiscal car ofer avantaj real contribuabil introduc sist fiscal bazat sistem informat reduc impoz aferent stimular consum intern reduc numar tax plat aferent,cot redus impoz direct compar scut tax impoz pentru anumit contribu amenz mar pentru neplat obligat fiscal
"Ar fi bine dacă banii pe care le plătim,adică banii ce se colectează din TVA ar uilizaţi mai mult pentru binele nostru, mai multe dezvoltări în cadrul firmelor autohtoni şi nu a firmelor străini. Pur şi simplu ar trebuie suportaţi cetăţenii români mai mult, din banii lor.","Dacă ar fi ministrul finanţelor publice aş schimba impozitul pe clădiri şi şi pe salariu pentru a îmbunătăţi starea financiară a muncitoriilor, dar şi a ivnesti banii de buget în înbunătăţirea spitalelor, dar nu şi a bisericiilor din românia.",Informaţii utile din codul fiscal! :),0,0,1,bin dac ban car plat adic ban colect uiliz mult pentru bin nostru mult dezvoltar cadr firm autohton firm strain simplu trebui suport cetaten roman mult ban,dac ministr finant public schimb impoz cladir salariu pentru imbunatat star financiar muncit ivnest ban buget inbunatat spital biser roman,inform uti cod fiscal
NU ESTE STABIL SI DIN ACEST MOTIV NU OFERA INCREDERE.,"L-AS RESTRUCTURA PENTRU A FI MAI SIMPLU, CONCIS SI SA NU POATA FI INTERPRETABIL.",DIVERSE INFORMATII CU PRIVIRE LA TEMA FISCALITATII.,0,0,1,este stabil acest motiv ofer incred,l as restructur pentru simplu concis poat interpret,diver inform priv tem fiscal
Faptul ca este instabil.,Codul fiscal l as schimba astfel incat sa fie mai stabil si credibil in acelasi timp pentru utilizatori.,"Sistemul fiscal ofera o instabilitate, datorita mdificarilor dese.",0,1,0,fapt este instabil,cod fiscal schimb astfel incat stabil credibil acelas timp pentru utiliz,sist fiscal ofer instabil dator mdificar des
-,-,-,1,1,1,,,
conducerea si unele legi confuze,"cotele, modul de administrare a  finantelor ",o anumita siguranta care in foarte multe cazuri se transforma in confuzie,0,1,0,conduc une leg confuz,cot mod administr finant,anum sigur car foart mult cazur transform confuz
"Faptul că este dezorganizat și că nu este transparent pentru public. Aceste taxe și impozite ar trebui detaliate în parte pentru fiecare plătitor care necesită imformații deste ele, dar să fie și credibile, rezonabile, accesibile și realiste.
",Aș face tot mai transparent precum si realist și accesibil pentru toaă lumea. Mai exact aș modifica tot ceea ce am scris la punctul anterior.,"Impozite și taxe ce trebuie plătite. Apoi facilități, care sunt sau nu vizibile.",1,1,0,fapt este dezorganiz este transparent pentru public acest tax impoz treb detal part pentru fiec platit car neces imformat dest credib rezon accesib realist,fac transparent precum realist acces pentru toa lum exact modif cee scris punct anterior,impoz tax trebui platit apo facilitat car sunt vizib
Taxele prea mari si prea multe,Nu sunt in masura sa imi exprim opinia in problema aceasta.,"mie, personal, nimic.",0,0,1,tax pre mar pre mult,sunt masur exprim opin problem aceast,personal nimic
Lipsa facilitatilor pentru investitori.,"L-as restructura din temelii, pe modelul unor state cu sisteme fiscale eficiente. As face asta prin comparatie.",In opinia mea prea multe obligatii si prea putine facilitati.,0,1,0,lips facil pentru invest,l as restructur temel model unor stat sistem fiscal eficient fac asta prin comparat,opin pre mult oblig pre putin facil
Nu este o transparenta satisfacator in sistemul fiscal si evaziunea fiscala e prea rificata in tara noastra.,as face o remodelare in sistem ,sistemul fiscal actual ne ofera momentan un sistem complicat pe care e greu de urmarit. ,0,0,0,este transparent satisfac sist fiscal evaziun fiscal pre rific tar noastr,fac remodel sist,sist fiscal actual ofer momentan sist complic car greu urmar
Cuantumul mare al taxelor,As lua exemplu de la statele dezvoltate,Instabilitate,1,1,0,cuantum mar tax,exemplu stat dezvolt,instabil
"Prea multe taxe si impozite, si prea mici salariile.",As mari salariile .,Nesiguranta.,0,0,0,pre mult tax impoz pre mic salar,mar salar,nesigur
Ca platesc taxe si nu vad nici o schimbare in bine ,As relaxa sistemul de taxe ptr micii întreprinzători si sa se recupereze datoriile de la marii contribuabili,Nimic,0,0,0,plat tax nic schimb bin,relax sist tax mic intreprinz recuper dator mar contribu,nimic
Faptul ca nu e transparent si nu este organizat cum trebuie.,"Da, dar nu in totalitate. Sistemul fiscal romanesc are si parti bune, dar si parti rele. Pe cele rele le-as imbunatati.",Nu prea multe. Mai mult ia decat ofera.,0,0,0,fapt transparent este organiz trebui,total sist fiscal roman part bun part rel cel rel le as imbunat,pre mult mult decat ofer
"Platim taxe si impozite dar nu ma simt in siguranta pe strada adica serviciul de securitate ma nemultumeste,prea multa birocratie(timpul costa bani si nu mi se pare normal sa astept o saptamna pentru o adeverinta de la ANAF),drumurile publice sunt intr-o stare deplorabila dar platim taxe si impozite,in concluzie as vrea sa vad ca banii pe care ii platim sunt investiti in servicii si bunuri durabile si de calitate.","As acorda un mai mare procent de finantare educatiei si santatii,as realiza o mai buna coordonare intre institutiile finantelor publice,adica as investi in sisteme informatice pt a le usura munca atat functionarilor cat si cetatenilor platitori de taxe si impozite.",Finanteaza serviciile publice si incaseaza taxe si impozite de la contribuabili.,0,1,0,plat tax impoz simt sigur strad adic servic secur nemultumest pre mult birocrat timp cost ban par normal astept saptamn pentru adeverint anaf drumur public sunt intr o star deplor plat tax impoz concluz vre ban car plat sunt invest servic bunur durabil calitat,acord mar procent finant educ santat realiz bun coordon intre instit finant public adic invest sistem informat usur munc atat functionar cetaten platit tax impoz,finanteaz servic public incaseaz tax impoz contribu
"Multitudinea de taxe si impozite neadaptate la conditiile reale de trai din Romania, uneori aceste taxe depasesc nivelul minim salarial si suntem in imposibilitatea de a plati.","Momentan nu detin cunostintele necesare incat sa imi pot propune modificari de asemenea impact, dar as convoca mai multe sedinte la care sa participe economisti - inclusiv cadre universitare dar si oameni de afacere si impreuna sa se gaseasca o solutie avantajoasa atat pentru stat cat si pentru cei implicati direct in procesul economic.Ministrul finantelor publice ar trebui sa fie o persoana cu studii in acest domeniu si nicidecum o persoana fara studii,numita politic la fiecare 6 luni de cate un partid politic.Din punctul meu de vedere este nevoie de o continuitate pentru a pune pe picioare un sistem fiscal eficient.
Revenind la intrebarea initiala, eu probabil as propune ca taxele si impozitele sa fie calculate pe masura veniturilor companiei, nu mi se pare corect ca o companie cu 10 angajati sa plateasca acelasi impozit pe venit comparativ cu o companie care are mii de angajati","Avand in vedere faptul ca lucrez in sistemul bugetar, parerea mea este ca toate taxele si impozitele care imi sunt retinute pe baza salariului, sunt folosite pentru a-mi asigura diverse beneficii actuale precum gratuitate la medicamente sau sunt folosite pentru beneficii pe termen lung ( exemplu contributia la fondul de pensii )",0,0,1,multitudin tax impoz neadapt condit real tra roman uneor acest tax depas nivel min salarial sunt impos plat,momentan detin cunostint neces incat propun modificar asemen impact convoc mult sedint car particip economist inclus cadr universit oamen afac impreun gaseasc solut avantaj atat pentru stat pentru implic direct proces economic ministr finant public treb persoan stud acest domeniu nicidecum persoan far stud numit polit fiec lun cat partid politic din punct veder este nevoi continu pentru pun picioar sist fiscal eficient reven intreb initial probabil propun tax impoz calcul masur venitur compan par corect compan angaj plateasc acelas impoz venit compar compan car angaj,avand veder fapt lucr sist bugetar parer este toat tax impoz car sunt retin baz salar sunt folos pentru a mi asigur diver benef actual precum gratuitat medicament sunt folos pentru benef termen lung exemplu contribut fond pens
Nimic,Momentan nu stiu ce schimbari as putea face.,Nimic,0,0,0,nimic,momentan stiu schimbar put fac,nimic
"Ma nemultumeste faptul ca nu se pune accent pe creearea a mai multe locuri de munca, scaderea taxelor si impozitelor","As scadea taxele si impozitele,as demara cat mai multe proiecte si as incerca sa scad rata somajului","Anumite facilitati publice, posibilitatea de a contribui la dezvoltarea mai multor facilitati comune prin contributia din salar",0,0,1,nemultumest fapt pun accent creear mult locur munc scad tax impoz,scad tax impoz demar mult proiect incerc scad rat somaj,anum facil public posibil contrib dezvolt multor facil comun prin contribut salar
"Modificarile fiscale aduse peste noapte .
Numarul mare de taxe .
Evaziunea fiscala .
","Asi incerca sa  simplific legislatia si  raportarile fiscale,  implementarea unui mod de calcul simplu si usor de inteles atat pentru contributiile sociale, cat si pentru impozite si taxe. ","Parerea mea este ca ,Sistemul Fiscal ne ofera o multime de taxe si impozite pentru a genera venituri statului . ",0,0,0,modificar fiscal adu pest noapt numar mar tax evaziun fiscal,incerc simplif legislat raportar fiscal implement unu calc simplu usor inteles atat pentru contrib social pentru impoz tax,parer este sist fiscal ofer multim tax impoz pentru gener venitur stat
Câ se schimbă de la o zi la alta.,Aş reduce taxele şi impozitele şi aş face tot posibilu să modific ceva pentru a le face oamenilor traiul mai uşor .,Nimic.,0,1,0,schimb alta,reduc tax impoz fac posibilu modif cev pentru fac oamen trai usor,nimic
"1.Functionarul  public nu are competentele necesare.
2.Birocratia excesiva 
3.Numarul mare de taxe fiscale si parafiscale.
4.Nivelul mare al taxelor.
5.Evaziunea fiscala.
6.Proceduri  complicate.
7.Lipsa unui cadru legislativ predictibil.
","Simplificarea legislatiei și a raportarilor fiscale, implementarea unui mod de calcul simplu și usor de înteles atât pentru contribuțiile sociale, cât și pentru impozite și taxe.Eliminarea exceptiilor legate de tratarea din punct de vedere fiscal a diferitele tipuri de venituri PFA, DDA, s.a....

O Analiză și revizuirea sistemului de taxe urmată de o reducerea numarului taxelor va duce la scaderea costurilor de administrare,ceea ce înseamnă economii la buget.

As-i scădea TVA la 19-20%.Cât și scaderea cotei contributiilor sociale CAS angajat si angajator la 8%, respectiv la 15,5%, pentru conditii normale de munca si scaderea impozitului pe dividende la 5%.","Sunt destul de puține beneficii la momentul actual al sistemului fiscal din pacate eu nu simt ca beneficiez cum ar trebuie de accestea iar daca tot vine vorba de beneficii am să numesc câteva:

Beneficierea de indemnizație de șomaj sau de alocație de sprijin.
CAS,CASS, și cheltuielile publice.",0,0,0, functionar public competent neces 2.birocrat exces 3.numar mar tax fiscal parafiscal 4.nivel mar tax 5.evaziun fiscal 6.procedur complic 7.lips unu cadru legisl predict,"simplific legisl raportar fiscal implement unu calc simplu usor inteles atat pentru contribut social pentru impoz taxe elimin except legat trat punct veder fiscal difer tipur venitur analiz revizu sist tax urmat reduc numar tax duc scad costur administr cee inseamn econom buget as i scad 19-20 .cat scad cote contrib social angaj angaj respect 15,5 pentru condit normal munc scad impoz dividend",sunt dest putin benef moment actual sist fiscal pacat simt beneficiez trebui accest dac vin vorb benef numesc catev beneficier indemnizat somaj alocat sprijin cass cheltuiel public
Modificarea deasă a taxelor si impozitelor.,"As modifica birocrația, reducand-o.","Sistemul fiscal imi ofer posibilitatea de a contribuii pentru nevooile statului, care ulterior imi ofera diferite servicii.",0,0,1,modific deas tax impoz,modif birocrat reducand o,sist fiscal ofer posibil contribui pentru nevoo stat car ulterior ofer difer servic
instabilitatea,diminuarea taxelor,o gramada de taxe ce trebuiesc platite,0,0,0,instabil,diminu tax,gramad tax trebui platit
Taxe și impozite mari.,TVA și la nealimentare,"Reducerea la unele servicii. Cum ar fi școlarizarea , transportul , sănătatea .",0,0,0,tax impoz mar,nealiment,reduc une servic scolariz transport sanat
Ceea ce mă nemulţumeşte la sistemul fiscal românesc este faptul că banii din impozite şi taxe plătite de contribuabili nu sunt distribuite pentru lucrurile necesare unui oras sau judet. ,Daca aş fi ministerul finanţelor publice aş schimba sistemul de recuperare a datoriilor către stat şi nu aş aproba stingerea datoriilor marilor companii. ,Sistemul fiscal actual îmi oferă un cadru legal de desfăşurare a activităţii în care m-am specilizat.,0,0,0,cee nemultum sist fiscal roman este fapt ban impoz tax platit contribu sunt distribu pentru lucrur neces unu oras judet,dac minister finant public schimb sist recuper dator catr stat aprob sting dator mar compan,sist fiscal actual ofer cadru legal desfasur activ car m am speciliz
