incredere_sist_fiscal,parere_sist_fiscal,TRANSPARENCY,VALUE FOR MONEY,ECONOMICAL,TRUST,SOCIAL WELFARE,WORK PLACE CREATION,SOCIO-ECONOMIC DEVELOPMENT,STABILITY,PREDICTIBILITY,FIN_INSP,FINES,CLEAR_LAW,FISC_FACIL,SUBV,INVEST_TAX,Q_PUBLIC_SV,PUBLIC_INV,TRANSP,nemultumiri_sist_fiscal,schimbari_sist_fiscal,ce_ofera_sistemul,motivare_incredere_sist_fiscal,nemultumiri_sist_fiscal_sentiment,schimbari_sist_fiscal_sentiment,ce_ofera_sistemul_sentiment,motivare_incredere_sist_fiscal_sentiment,overall_sentiment_all_responses
1,4,3,5,3,5,3,5,3,3,3,3,5,3,3,3,5,3,3,3,sistemul fiscal romanesc necesita reformare suplimentara,nu stiu,multe taxe ,Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,1,0,1,0,1
1,4,5,4,4,5,5,5,5,5,4,4,3,5,3,3,4,5,3,5,neegalitatea,introducerea unor cote diferentiate pentru impunerea profitului si a veniturilor de orice natura ,"in momentul de fata este plina de contradictii, deci exista rost de mai bine",Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,1,1,1,0,1
1,1,4,5,5,5,5,5,4,4,5,4,5,5,4,5,4,5,4,4,Taxele nu sunt colectate de la marii evazionisti...,Scaderea cotelor de taxe si impozite,"Nimic... Desi in ultima perioada se doreste eficientizarea colectarii taxelor, banii colectati nu se vad in investitii, de exemplu infrastructura( drumuri proaste, lipsa autostrazilor etc)",Pentru că îmi oferă servicii de protecție socială,0,0,0,1,0
0,3,4,3,3,4,3,5,3,3,4,3,4,3,3,4,5,4,4,3,Ipocrizia si asa zisa neputinta (indusa) sau delasarea organelor fiscale.,"Clarificarea si armonizarea legilor si taxelor. Crosetarea lor pentru cerintele antreprenorului de rand roman si a contribuabililor, pornite de la baza sistemului pana la varful piramidei si nu decizii luate din pix pe proiecte facute pe genunchi de diferite personalitati care nu   
au tangenta cu realitatea actuala.","Cu cateva ajustari, chiar perspectivele unui viitor mai bun in tara.","Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat, Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic",0,1,1,1,1
0,1,5,4,4,5,5,5,5,4,4,4,2,4,4,4,2,5,4,5,"ca nu sprijina agricultura, ca nu diminueaza marimea importurilor si ca nu sustine antreprenorii romani","as modifica cotele impozitelor si as face mai transparent modul de cheltuire a veniturilor,astfel populatia ar avea incredere si ar plati impozitele,s-ar reduce evaziunea fiscala","obligatia de a plati taxe si impozite, adica are multe deficiente",Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,0,0,0,1,0
1,4,4,4,4,5,4,5,4,4,3,5,4,4,3,4,4,4,4,5,"La impozitul total pe profitul companiilor, România are o cotă situată sub media europeană. ",As diminua impozitele pe salarii,taxe mari pentru persoanele fizice,Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,1,0,1,0,1
1,4,4,4,4,5,5,5,4,5,4,5,4,5,5,5,4,5,4,4,Taxele care sunt prea mari.,"As reduce din taxe si impozite, sau cel putin le-as micsora.",Activitățile medicale oferite gratuit.,Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,0,0,1,1,0
1,3,5,4,4,5,5,5,5,5,3,2,3,4,3,5,4,5,4,5,"Taxele și impozitele mari raportate la veniturile din România, mai ales raportate la salariul minim pe economie.","Consider că ar fi ideal să fie impozitele mai mici, în special impozitul/venit deoarece o mare parte a populației trăiește dintr-un salariu minim pe economie ( iar salarul net este foarte mic ).","Tinand cont de faptul că nu am niciun venit si nu platesc taxe si impozite, as putea spune ca nu am o ”relatie” cu sistemul fiscal.",Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,1,0,0,0,0
0,3,4,4,4,4,4,5,4,5,4,2,2,4,4,5,4,5,5,4,Taxele și impoxitele ridicate,Aș reduce taxele,Nimic. Puțină dezvoltare socială,Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,0,1,0,0,0
1,4,5,5,4,5,5,5,5,5,4,4,4,4,5,5,5,5,5,4,scad pe de o parte unele taxe si cresc pe de alta parte altele,As schimba  cota unica de impozitare a veniturilor in impozitarea progresiva,Dupa parerea mea noi suntem cei care oferim mai mult sistemului fiscal decat beneficiile pe care ni le ofera acest sistem,Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,0,0,1,0,0
1,1,3,3,4,5,5,4,4,5,4,3,3,4,5,4,5,5,4,4,"Taxe prea mari platite de contribuabili, care nu se reflecta foarte mult in serviciile oferite de stat pentru cetatean.",Modul de organizare si de colectare a taxelor. De exemplu cota impozitului pe profit sa difere in functie de marimea bazei impozabile.,O stabilitate destul de relativa avand in vedere modificarile dese ale reglementarilor Codului Fiscal. ,Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,0,1,1,1,1
1,4,5,5,4,4,4,5,5,5,5,2,5,5,4,5,2,4,4,4,Taxe și impozite prea mari.,"Mai multă transparență, predictibilitate, adică o bună stabilitate. Mai puțină birocrație. O încurajare a investițiilor și chiar diminuarea cotelor taxelor. ",Protecție socială. ,Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,0,1,1,0,1
0,1,5,5,5,5,4,5,5,5,4,2,2,4,4,4,5,5,5,4,Nu stiu ...,"Scaderea TV, ajutarea tinerilor antreprenori mai mult si un control mai riguros.",Pana acum nimic ?,"Pentru că îmi oferă servicii de protecție socială, Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat, Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic",0,0,1,1,0
1,3,5,3,3,4,3,4,4,5,5,4,2,4,5,4,4,5,5,5,"-impozitul pe TVA este foarte mare comparativ cu alte țări din UE
-instabilitatea cadrului legislativ privind sistemul fiscal
-lipsa unui dialog coerent între autoritățile fiscale și contribuabili
-plata unor impozite fără a benificia ulterior de serviciul aferent impozitului","-aș reduce cotele de impozit care au un efect negativ asupra investițiilor.
-aș acorda facilități fiscale care să ofere un avantaj real contribuabilui.
-aș introduce un sistem fiscal bazat pe sistemele informatice
-aș reduce impozitele aferente stimulării consumului intern
-aș reduce numărul de taxe și plățile aferente","-o cotă redusă a impozitelor directe comparativ cu U.E
-scutirea de taxe și impozite pentru anumiți contribuabili 
-amenzi mari pentru neplata obligațiilor fiscale
",Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,0,1,0,0,0
1,4,4,5,5,5,4,4,3,5,4,4,4,4,3,3,4,4,5,5,"Ar fi bine dacă banii pe care le plătim,adică banii ce se colectează din TVA ar uilizaţi mai mult pentru binele nostru, mai multe dezvoltări în cadrul firmelor autohtoni şi nu a firmelor străini. Pur şi simplu ar trebuie suportaţi cetăţenii români mai mult, din banii lor.","Dacă ar fi ministrul finanţelor publice aş schimba impozitul pe clădiri şi şi pe salariu pentru a îmbunătăţi starea financiară a muncitoriilor, dar şi a ivnesti banii de buget în înbunătăţirea spitalelor, dar nu şi a bisericiilor din românia.",Informaţii utile din codul fiscal! :),"Pentru că îmi oferă servicii de protecție socială, Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat",0,0,1,1,0
1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NU ESTE STABIL SI DIN ACEST MOTIV NU OFERA INCREDERE.,"L-AS RESTRUCTURA PENTRU A FI MAI SIMPLU, CONCIS SI SA NU POATA FI INTERPRETABIL.",DIVERSE INFORMATII CU PRIVIRE LA TEMA FISCALITATII.,"Pentru că îmi oferă servicii de protecție socială, Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat, Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic",0,0,1,1,0
0,4,5,5,5,5,4,4,5,5,4,4,3,4,5,4,5,5,5,5,Faptul ca este instabil.,Codul fiscal l as schimba astfel incat sa fie mai stabil si credibil in acelasi timp pentru utilizatori.,"Sistemul fiscal ofera o instabilitate, datorita mdificarilor dese.",Pentru că îmi oferă servicii de protecție socială,0,1,1,1,1
0,4,4,4,4,4,4,5,5,5,4,5,4,5,4,4,3,5,4,4,-,-,-,Pentru că îmi oferă servicii de protecție socială,1,1,1,1,1
0,4,4,4,4,4,5,5,5,4,3,4,3,3,5,5,4,4,4,3,conducerea si unele legi confuze,"cotele, modul de administrare a  finantelor ",o anumita siguranta care in foarte multe cazuri se transforma in confuzie,Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,0,1,1,0,1
0,2,5,4,5,5,4,5,4,5,5,4,4,5,5,5,4,5,5,5,"Faptul că este dezorganizat și că nu este transparent pentru public. Aceste taxe și impozite ar trebui detaliate în parte pentru fiecare plătitor care necesită imformații deste ele, dar să fie și credibile, rezonabile, accesibile și realiste.
",Aș face tot mai transparent precum si realist și accesibil pentru toaă lumea. Mai exact aș modifica tot ceea ce am scris la punctul anterior.,"Impozite și taxe ce trebuie plătite. Apoi facilități, care sunt sau nu vizibile.","Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat, Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic",1,1,0,1,1
0,3,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,Taxele prea mari si prea multe,Nu sunt in masura sa imi exprim opinia in problema aceasta.,"mie, personal, nimic.","Pentru că îmi oferă servicii de protecție socială, Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat, Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic",0,0,1,1,0
0,1,5,5,5,5,3,4,5,4,4,4,4,5,4,5,5,4,3,3,Lipsa facilitatilor pentru investitori.,"L-as restructura din temelii, pe modelul unor state cu sisteme fiscale eficiente. As face asta prin comparatie.",In opinia mea prea multe obligatii si prea putine facilitati.,Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,0,1,0,0,0
0,3,5,4,4,4,4,5,5,5,5,3,3,3,5,4,4,3,4,5,Nu este o transparenta satisfacator in sistemul fiscal si evaziunea fiscala e prea rificata in tara noastra.,as face o remodelare in sistem ,sistemul fiscal actual ne ofera momentan un sistem complicat pe care e greu de urmarit. ,"Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat, Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic",0,1,1,1,1
0,1,4,5,4,4,4,5,4,5,4,2,1,3,5,5,4,4,5,5,Cuantumul mare al taxelor,As lua exemplu de la statele dezvoltate,Instabilitate,Pentru că îmi oferă servicii de protecție socială,1,1,0,1,1
0,4,4,3,4,4,2,4,5,4,5,5,4,3,2,3,5,4,4,1,"Prea multe taxe si impozite, si prea mici salariile.",As mari salariile .,Nesiguranta.,Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,0,1,0,1,0
0,1,5,5,4,4,5,5,5,5,4,2,1,3,3,5,5,5,4,5,Ca platesc taxe si nu vad nici o schimbare in bine ,As relaxa sistemul de taxe ptr micii întreprinzători si sa se recupereze datoriile de la marii contribuabili,Nimic,Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,0,1,0,0,0
0,3,5,4,4,4,4,5,3,5,4,4,5,5,4,4,5,5,4,4,Faptul ca nu e transparent si nu este organizat cum trebuie.,"Da, dar nu in totalitate. Sistemul fiscal romanesc are si parti bune, dar si parti rele. Pe cele rele le-as imbunatati.",Nu prea multe. Mai mult ia decat ofera.,Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,0,0,0,0,0
1,1,5,5,4,4,3,5,5,4,5,4,5,4,5,5,3,5,5,5,"Platim taxe si impozite dar nu ma simt in siguranta pe strada adica serviciul de securitate ma nemultumeste,prea multa birocratie(timpul costa bani si nu mi se pare normal sa astept o saptamna pentru o adeverinta de la ANAF),drumurile publice sunt intr-o stare deplorabila dar platim taxe si impozite,in concluzie as vrea sa vad ca banii pe care ii platim sunt investiti in servicii si bunuri durabile si de calitate.","As acorda un mai mare procent de finantare educatiei si santatii,as realiza o mai buna coordonare intre institutiile finantelor publice,adica as investi in sisteme informatice pt a le usura munca atat functionarilor cat si cetatenilor platitori de taxe si impozite.",Finanteaza serviciile publice si incaseaza taxe si impozite de la contribuabili.,Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,1,1,0,1,1
0,3,5,4,5,4,5,5,4,5,4,5,5,3,4,5,5,2,4,3,"Multitudinea de taxe si impozite neadaptate la conditiile reale de trai din Romania, uneori aceste taxe depasesc nivelul minim salarial si suntem in imposibilitatea de a plati.","Momentan nu detin cunostintele necesare incat sa imi pot propune modificari de asemenea impact, dar as convoca mai multe sedinte la care sa participe economisti - inclusiv cadre universitare dar si oameni de afacere si impreuna sa se gaseasca o solutie avantajoasa atat pentru stat cat si pentru cei implicati direct in procesul economic.Ministrul finantelor publice ar trebui sa fie o persoana cu studii in acest domeniu si nicidecum o persoana fara studii,numita politic la fiecare 6 luni de cate un partid politic.Din punctul meu de vedere este nevoie de o continuitate pentru a pune pe picioare un sistem fiscal eficient.
Revenind la intrebarea initiala, eu probabil as propune ca taxele si impozitele sa fie calculate pe masura veniturilor companiei, nu mi se pare corect ca o companie cu 10 angajati sa plateasca acelasi impozit pe venit comparativ cu o companie care are mii de angajati","Avand in vedere faptul ca lucrez in sistemul bugetar, parerea mea este ca toate taxele si impozitele care imi sunt retinute pe baza salariului, sunt folosite pentru a-mi asigura diverse beneficii actuale precum gratuitate la medicamente sau sunt folosite pentru beneficii pe termen lung ( exemplu contributia la fondul de pensii )",Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,1,1,1,1,1
1,4,5,5,4,5,4,5,4,5,4,4,1,4,4,4,5,5,4,5,Nimic,Momentan nu stiu ce schimbari as putea face.,Nimic,Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,0,1,0,0,0
0,1,4,3,4,5,4,5,5,5,4,3,4,4,5,4,5,4,5,4,"Ma nemultumeste faptul ca nu se pune accent pe creearea a mai multe locuri de munca, scaderea taxelor si impozitelor","As scadea taxele si impozitele,as demara cat mai multe proiecte si as incerca sa scad rata somajului","Anumite facilitati publice, posibilitatea de a contribui la dezvoltarea mai multor facilitati comune prin contributia din salar","Pentru că îmi oferă servicii de protecție socială, Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat",0,0,1,1,0
1,4,4,4,5,5,4,5,4,5,5,3,4,4,3,3,4,5,4,5,"Modificarile fiscale aduse peste noapte .
Numarul mare de taxe .
Evaziunea fiscala .
","Asi incerca sa  simplific legislatia si  raportarile fiscale,  implementarea unui mod de calcul simplu si usor de inteles atat pentru contributiile sociale, cat si pentru impozite si taxe. ","Parerea mea este ca ,Sistemul Fiscal ne ofera o multime de taxe si impozite pentru a genera venituri statului . ",Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,1,0,1,1,1
0,3,4,5,5,5,5,5,5,5,4,5,5,5,5,3,5,5,3,5,Câ se schimbă de la o zi la alta.,Aş reduce taxele şi impozitele şi aş face tot posibilu să modific ceva pentru a le face oamenilor traiul mai uşor .,Nimic.,Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,0,0,0,1,0
1,3,3,5,4,5,4,5,5,4,5,5,4,4,5,5,5,5,4,4,"1.Functionarul  public nu are competentele necesare.
2.Birocratia excesiva 
3.Numarul mare de taxe fiscale si parafiscale.
4.Nivelul mare al taxelor.
5.Evaziunea fiscala.
6.Proceduri  complicate.
7.Lipsa unui cadru legislativ predictibil.
","Simplificarea legislatiei și a raportarilor fiscale, implementarea unui mod de calcul simplu și usor de înteles atât pentru contribuțiile sociale, cât și pentru impozite și taxe.Eliminarea exceptiilor legate de tratarea din punct de vedere fiscal a diferitele tipuri de venituri PFA, DDA, s.a....

O Analiză și revizuirea sistemului de taxe urmată de o reducerea numarului taxelor va duce la scaderea costurilor de administrare,ceea ce înseamnă economii la buget.

As-i scădea TVA la 19-20%.Cât și scaderea cotei contributiilor sociale CAS angajat si angajator la 8%, respectiv la 15,5%, pentru conditii normale de munca si scaderea impozitului pe dividende la 5%.","Sunt destul de puține beneficii la momentul actual al sistemului fiscal din pacate eu nu simt ca beneficiez cum ar trebuie de accestea iar daca tot vine vorba de beneficii am să numesc câteva:

Beneficierea de indemnizație de șomaj sau de alocație de sprijin.
CAS,CASS, și cheltuielile publice.",Pentru că îmi oferă servicii de protecție socială,0,1,0,1,0
1,3,5,5,4,5,5,5,4,5,5,3,4,5,3,4,4,5,5,4,Modificarea deasă a taxelor si impozitelor.,"As modifica birocrația, reducand-o.","Sistemul fiscal imi ofer posibilitatea de a contribuii pentru nevooile statului, care ulterior imi ofera diferite servicii.",Pentru că îmi oferă servicii de protecție socială,1,1,1,1,1
0,3,2,5,4,5,4,4,4,5,3,3,3,3,2,3,4,4,5,3,instabilitatea,diminuarea taxelor,o gramada de taxe ce trebuiesc platite,Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,0,0,0,1,0
0,3,3,3,4,5,4,5,4,4,3,2,1,4,4,4,4,5,5,3,Taxe și impozite mari.,TVA și la nealimentare,"Reducerea la unele servicii. Cum ar fi școlarizarea , transportul , sănătatea .","Pentru că îmi oferă servicii de protecție socială, Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat, Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic",1,1,1,1,1
1,4,5,4,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,Ceea ce mă nemulţumeşte la sistemul fiscal românesc este faptul că banii din impozite şi taxe plătite de contribuabili nu sunt distribuite pentru lucrurile necesare unui oras sau judet. ,Daca aş fi ministerul finanţelor publice aş schimba sistemul de recuperare a datoriilor către stat şi nu aş aproba stingerea datoriilor marilor companii. ,Sistemul fiscal actual îmi oferă un cadru legal de desfăşurare a activităţii în care m-am specilizat.,Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,0,0,1,1,0
0,1,5,4,4,4,5,5,4,5,4,4,3,5,5,4,4,4,5,5,Taxele și impozitele exagerat de mari dar și procedurile complexe de plată ale acestora.,Aș scădea cotele impozitelor și taxelor.,O viață gra ca economist.,Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,0,0,1,0,0
1,1,4,3,4,4,5,5,5,5,4,3,5,5,5,4,5,5,4,4,Faptul ca se afla intr-o continua schimbare.,As incuraja investiiile prin diminuarea cotelor taxelor.,Taxe si impozite de platit,Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,1,1,0,1,1
1,3,5,5,5,5,5,5,5,5,5,3,1,5,5,4,5,5,5,5,"Eu consider că România are, în ceea ce privește fiscalitatea, un mecanism lipsit de predictibilitate, un aparat fiscal birocratic, lucru care nu produce efecte benefice țării noastre.
Un alt aspect negativ, în ceea ce privește fiscalitatea în România, este lipsa de stabilitate a acestuia. Eu consider că, în condițiile în care legea în România se schimbă ”de la o zi la alta”, este aproape imposibil ca întreprinderile, companiile să se poată adapta cu ușurință și să răspundă prompt la aceste schimbări. Acest lucru, duce după părerea mea la îngreunarea colectării veniturilor publice din taxe și impozite.
Un alt lucru care mă nemulțumește la sistemul fiscal românesc este această continuă jonglare cu taxele și impozitele. De multe ori am asistat la desființarea unei anumite taxe, sau a unui anumit impozit, acest lucru fiind urmat însă de introducerea altora, sau majorarea celor existente. Consider că acest lucru dovedește lipsa de profesionalism și stabilitate a sistemului fiscal în ochii românilor, fapt ce determină și această îngreunare onorării acestor obligații la care cetățeanul este supus.Toate aceste lucruri duc la dispariția încrederii din partea contribuabililor față de sistemul fiscal.
Pe de altă parte, cred că sistemul fiscal din România ar trebui să fie mult mai transparent, în ceea ce privește problema cheltuielilor publice. ","Dacă aș avea posibilitatea să schimb ceva în ceea ce privește sistemul fiscal din România, m-aș axa în primul rând asupra problemei amintite mai sus, legată de informarea agentului economic cu privire la obligațiile la care acesta trebuie să răspundă, cât și la stabilirea unui sistem de legi stabil, clar, care să nu trebuiască să fie supus schimbărilor atât de frecvent.
În al doilea rând aș încerca să expun alocarea resurselor bugetului statului cu o mai mare transparență față de contribuabili.
","Sistemul fiscal actual, oferă sau ar trebui să ofere, baza, susținerea și realizarea veniturilor publice, necesare efectuării cheltuielilor publice  de care un stat democratic are nevoie. Însă din păcate sistemul fiscal este înconjurat de o birocrație excesivă, un număr mare de taxe și impozite, un sistem ce plasează încurajarea investițiilor pe un plan secund, și o relaționare ineficientă între contribuabili și  autoritățile fiscale.","Pentru că îmi oferă servicii de protecție socială, Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic",1,1,1,1,1
0,1,5,2,5,4,4,4,4,5,4,2,4,4,2,2,2,5,4,5,Impozitele si taxele prea mari.,Stabilitatea si transparenta sa fie mai mare.,"Pensii, iluminarea strazilor, dezvoltarea infrastructurii.","Pentru că îmi oferă servicii de protecție socială, Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat",0,1,0,1,0
0,1,2,4,5,3,4,3,4,3,2,1,5,5,2,1,1,2,3,2,Tot.,Tot.,Nimic.,Sa nu existe.,1,1,0,0,1
1,1,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,coruptia,-,"-servicii de proasta calitate
-salarii mici",Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,0,1,0,1,0
1,4,5,5,5,5,5,5,5,5,5,5,3,5,4,5,5,4,5,5,Foarte multă corupție.,Tot . Aş lua drept exemplu sistemul fiscal din Germania  .,Nimic,Pentru că îmi oferă servicii de protecție socială,1,1,0,1,1
1,4,4,5,4,4,4,5,5,5,3,4,3,4,4,5,4,3,4,3,"Prea multe persoane , care nu fac nimic sa fie mai bine ..","Sa nu mai avem asa multe taxe , impozitele sa nu fie asa mari, intr-u cat sa fie mai bine pentru tara.",Nu prea multe.,"Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat, Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic",0,1,0,1,0
0,3,2,4,2,3,3,3,5,1,2,3,3,4,3,3,5,4,4,3,Taxele si impozitele prea mari,As reduce unele taxe si impozitele,Sustinere pentru a realiza obiective,Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,0,0,1,0,0
0,3,5,4,4,4,3,3,4,5,5,5,5,5,3,4,4,4,4,3,Sistemul românesc este unul slab în comparație cu sistemul altor țări.,"Dacă aș fi ministrul finanțelor aș încerca să fac un sitem mai bun, mai perfecționat. Sistemul fiscal românesc din România are nevoie de mai multă stabilitate, transparenţă şi predictabilitate.",Sistemu fiscal actual oferă toatalitatea impozitelor plătite de persoanele fizice sau juridice române.,Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,0,1,0,1,0
1,4,5,4,4,5,4,3,5,5,5,4,3,4,4,4,4,5,4,5,Mă nemulțumește lipsa organizării a sistemului fiscal.," Sistemul fiscal românesc are nevoie urgent de o schimbare și primul lucru pe  care l-aș face dacă  aș fi ministrul finanțelor publice ar fi  transparența în sistemul fiscal. Aș pune funcționari publici competenți, aș reduce numărul taxelor.","Sistemul fiscal actual oferă bază financiară, contribuie la stimularea bunei desfășurări a agenților economici, oferă control al resurselor financiare.",Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,0,1,1,1,1
0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,impozitele,reducerea impozitelor,nimic,Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,0,1,0,1,0
1,3,4,3,2,4,5,4,4,5,3,2,4,3,5,4,4,5,4,5,Sunt prea multe taxe și impozite după părerea mea mai bine ar fi mai puține dar mai ridicate. Adică sistemul fiscal să primească la fel de mulți bani și cu mai puține taxe.,"Părera mea este că ar fi mai bine ca salariatul să vadă exact câți bani cheltuie o firmă cu plata salariului acestuia, să nu mai fie nevoită firma să plătească și ea contribuții separate pentru acelaș-i salariat.",Am observat că unul din beneficiii este că poți să îți plătești impozitele online.,Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,0,0,1,1,0
1,4,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,4,4,4,"Valoarea impozitelor mult prea ridicata, birocratia excesiva.","Reducerea birocratiei, scaderea taxelor si impozitelor, asigurarea predictibilitatii si transparentei politicii fiscale, stimularea investitiilor.","Nu foarte multe; bugetul statului fiind impartit superficial, adica noi nu beneficiem de servicii de calitate, aferente valorii impozitelor, banii nefiind folositi pentru imbunatatirea sistemului medical sau a infrastructurii țării.",Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,0,1,0,1,0
0,1,3,4,5,4,4,5,5,5,4,4,4,4,4,2,5,4,2,4,Taxele ridicate care nu stimulează crearea de noi afaceri si care l rândul ei determina evaziunea fiscală intr-o măsura foarte mare ,"Impozitele, taxele si dupa o analiza mai amănunțită mult mai multe ",Nu oferă mai nimic ,Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,0,1,0,0,0
1,4,5,4,3,4,5,5,4,5,4,4,5,5,3,5,4,5,3,4,taxele si impozitele mari raportate la salariile din Romania ,As scadea taxele si imozitele si as mari amenzile ,Protectie ,Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,1,0,1,1,1
0,1,3,5,5,4,3,5,5,5,5,5,5,5,5,4,4,5,4,4,Taxe mult prea mari,taxa auto,nimic,Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,0,1,0,0,0
0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,lipsa trasparentei,As constitui un climat de icredere intre cetatean si stat.,Obligatia de a plati taxe si impozite.,Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,0,0,0,0,0
1,3,2,4,4,4,5,5,4,4,4,2,2,4,2,4,4,4,3,4,Taxele și impozitele sunt prea mari.,Daca a-și fi ministrul finanțelor publice aș reduce taxele și impozitele.,"Asigură resursele financiare necesare pentru învățământ, sănătate etc.",Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,0,0,1,0,0
1,3,5,4,5,5,5,5,5,5,4,5,2,5,3,3,2,4,4,5,-,-,-,Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,1,1,1,0,1
1,4,4,5,4,5,4,5,5,5,4,3,5,4,4,5,4,4,4,5,Transparenta  și încrederea ,Încrederea cetățenilor și o dezvoltare mai eficienta a sistemului fiscal cât și a investițiilor ,"Impozit pe venit mic, taxe mari, o  birocrație excesiva, dar oferă și speranță","Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat, Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic",1,1,0,1,1
0,3,5,4,4,2,4,5,5,3,3,4,3,4,4,4,3,4,4,5,Gradul de transparentă cu privire la modul in care se cheltuiesc banii publici ,Nu știu. ,Taxe si impozite mari.,Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,0,0,1,1,0
