1. Ce vă nemulțumește la sistemul fiscal românesc?,2. Dacă ați fi ministrul finanțelor publice ce ați schimba la sistemul fiscal românesc?,"3. În opinia dumneavoastră, ce vă oferă sistemul fiscal actual?"
Faptul ca in romania veniturile fiscale și bugetare sunt dependente de veniturile din taxele si impozitele.,As constrange rau platnici sa plateasca taxele si impozitele. ,"Faptul ca, masurile de modificare a legislatiei economice sa nu se ia decat cu consultarea reala a specialistilor in domeniu si a mediului de afaceri."
"Putina transparenta in ceea ce priveste distribuirea taxelor si impozitelor primite de la cetateni. Consider ca ar fi bine ca sistemul fiscal sa arate exact unde ,,pleaca"" banii. Astfel ar  creste increderea  si conformarea voluntara a contribuabilor",Pe langa mai multa transparenta as oferi date exacte despre evolutia sistemului fiscal ca sa existe mai multa predictibilitate,Sistemul fiscal actual ne ofera servicii in schimbul taxelor si impozitelor.
"Ma nemultumeste faptul ca sistemul fiscal a fost creat cu ""portite"" de scapare.",Sa fie aplicat pentru toti cetatenii acestei tari in mod egal dar mai ales corect.,In opinia mea sistemul fiscal imi ofera acces la serviciile publice. 
"Prea multă birocraţie atunci când avem nevoie să rezolvăm probleme curente. Funcţionarul de la ghişeu de cele mai multe ori mai mult ne încurcă decât ne descurcă, din cauza lipsei de pregătire sau de bunăvoinţă sau ambele. ","O birocraţie mai puţin excesivă, reducerea numărului de taxe şi a plăţilor aferente, încurajarea investiţiilor. Creșterea gradului de transparență referitor la modul de cheltuire a banului public de către stat.
","Servicii publice, un sistem administrativ statal eficient,echilibru financiar"
sistemul fiscal nu are un control deplin asupra cetățenilor și nu contabilizează exact veniturile ,"- comportamentul angajaților din cadrul agențiilor județene a finanțelor publice (să fie mult mai sociabili, calmi și disponibili față de contribuabilii care au nelămuriri, NU toată lumea are studii în domeniul economic)
","-apărare, ordine publică şi siguranţă naţională;
-realizează învestiții în urm. sectoare: învățământ, sănătate,asistențe socială,cultură,din care implicit fiecare contribuabil are de câștigat;
-servicii de dezvoltare publică
-susținere în domeniul agricol
etc"
dezechilibre in ceea ce priveste impozitul,sa fie axata inspectia societatilor mai mari,taxe si impozite ce nu te lasa sa-ti dezvolti afacerea
Din punctul meu de vedere este usor corupt.,As incerca micsorarea unor taxe si impozite inutile .,Ne ofera putine sanse de dezvoltare
Este un sistem slab,Mai putine taxe si impozite,Nu stiu
Nu ofera servicii bune de calitate.,As investii mai mult in acest domeniu.,Sistemul fiscal actual imi ofera servicii.
Nimic nu ma nemultumeste,Nu stiu ce anume,Siguranta
Impozitele ridicate,As investi mai mult in asigurari publice,Asigurari
Nu am nemultumiri in legatura cu sistemul fiscal romanesc,As face un sistem care sa inspire mai multa incredere cetatenilor,"Sistemul fiscal actual ne ofera un mecanism prin care fiecare cetatean poate sa ajute pe cei in nevoie copii , someri , pensionari"
consider ca amenzile sunt prea mari,as scuti firmele noi in primul an de activitate de taxe si impozite ,servicii publice
Taxe mari.,"Depinde cum privim situatia;obiectiv sau subiectiv. Momentan nu am vreo idee clara,care sa acapareze intr-un mod eficent atat sistemul(statul),cat si cetateanul.","Taxe mai mari decat venituri!
"
"Ceea ce ma nemultumeste la sistemul fiscal romanesc este ca investiile care se presupun ca se fac din taxele si impozitele platite de noi nu se vad.Nu avem infrastructura,suntem deficitari in domeniul medical,in educatie si asa mai departe.","As schimba toti oamenii din minister cu alti oameni cu calitate,care se implica si care doresc  sa contribuie la bunastarea populatiei si nu sa isi urmareasca propriile interese.","Avand in vedere raspunsul la intreabarea 11,in opinia mea sistemul nostru fiscal actual nu ofera nimic notabil."
incertitudinea fiscala,administrarea veniturilor publice,servicii de protectie sociala
"lipsa increderii,a dreptatii si transparentei sistemului fiscal",a-si incuraja tinerii sa ramana in tara si sa investeasca in Romania nu in alta parte,-nesiguranta
"TVA inca mai ridicat fata de celelate tari europene, ma refer in special la alimente de baza.","Modalitatea de impozitare a veniturilor, in sensul ca impozitarea sa fie graduala in functie de venit.","Sistem fiscal actual ne ofera cele mai importante servicii precum : educatie, sanatate si securitate."
serioziteatea prea inalta a acestora trebuie sa invete si sa mai ierte ,da ,0
"Mi se pare putin inchegat, in sensul ca pentru simple lucruri, cum ar fi plata unui impozit, esti obligat sa mergi la multiple ghisee in multiple locatii sau sa mergi la un ghiseu si sa suporti o coada infernala, doar pentru ca ghiseul respectiv e singurul care functioneaza.","Controale riguroase care sa se organizeze periodic(mai multe decat sunt in prezent), atat asupra personalului din cadrul finantelor publice, cat si tuturor institutiilor publice si private din tara.De asemenea, as schimba putin si structura sistemului fiscal romanesc, legat de ce am mentionat la punctul 11.","Prin plata impozitelor catre stat, ne ofera facilitatile necesare unei bune desfasurari a vietii."
"Nemultumirea mea se leaga de faptul ca platim impozite si taxe pentru servicii medicale , pensii etc. dar in ciuda acestui fapt cand avem nevoie de servicii spre exemplu medicale suntem nevoiti sa platim prestatia.","as schimba cotele de impozitare in functie de salariu, astfel ca dupa deduceri cetateanul sa poata duce o viata decenta",nimic special
Prea multe taxe ,Taxe si impozite mai mici,Incredere
sunt prea multe taxe de platit,sa nu fie atat taxe de platit ,Incredere
nu e atat de dezvoltat,"analiza si revizuirea sistemului de taxe, sa fie mai scazute",...
Taxe foarte mari si ultilizarea necorespunzatoare a banilor publici,Modul de utilizare a banilor publici si reducerea taxelor,Nesiguranta
taxele si impozitele sunt ridicate,"ar trebui sa aibe criterii precise,sa fie eficient,sa dispuna de personal fiscal cu un inalt grad de pregatire de specialitate.",Sistemul fiscal actual ofera puterea de a colecta veniturile statului si de a finanta cheltuielile.
Ma nemulţumeşte sistemul de pensii.,Dacă aş Ministru Finanţelor publice la sistemul fiscal românesc aş schimba pensiile să fie mai mici pentru cei care sunt favorizaţi de sistem. ,"În opinia noastră sistemul fiscal actual ne oferă, siguranţă şi  atragere a resurselor financiare ale statului."
"Nu ofera niciun ajutor firmelor start-up, nu este destul de transparent.","Nu stiu concret ce anume as schimba, dar m-as concentra pe implementarea unor masuri care sa ajute la evitarea evaziunii fiscale.",Servicii publice
pensile si alocatile prea mici,Nu stiu,O anumita siguranta
Ca este obligatoriu.,Totul.,Nimic
Faptul ca platim prea multe impozite ., Nu stiu .Cred ca as mai reduce unele impozite .,Nu stiu. Poate prea multe taxe pe care trebuie sa le platim.  
Creșterea taxelor si impozitelor si birocrația excesivă ,"Diminuarea birocrației excesive, reducerea numărului mare de taxe ",Taxe si impozite de plătite 
"Creșterea taxelor si impozitelor
Birocrația excesivă ","Diminuarea birocrației excesive 
Reducerea numărului mare de taxe fiscale si parafiscale ",Ne oferă proceduri complicate 
Faptul ca nu vad un mare beneficiu pentru cetățeni sau tara ,Încă nu am cunoștința necesară pentru a da un răspuns realist ,Nesiguranta
Ma nemultumeste ca tara noastră are una dintre cele mai reduse cote din Europa la impozitul pe venitul persoanelor fizice.,"Pe  partea de venituri as aduce lărgirea bazei de aplicare și creșterea eficienței în colectare.
Pe partea de cheltuieli as aduce creșterea eficienței în alocarea fondurilor, și nu tăierea oarbă a sumelor fără modificarea structurii de utilizare.",Sistemul fiscal actual nu imi ofera deocamdata nimic.
Unele taxe si impozite care sunt prea mari ,Nimic,Ne ofera unele servicii realizate din platile pe care le fac contribuabili
"Taxele si impozitele sunt cam mari.
",As reduce taxele.,Sistemul fiscal urmăreşte realizarea obiectivelor politicii economice şi sociale a statului.
Taxele si impozitele sunt prea mari.,Sistemul fiscal romanesc ar avea nevoie de mai multa stabilitate.,Sistemul fiscal actual ne ofera servicii publice.
Coruptia,-,Finanțează serviciile publicei
Taxe si impozitele,taxele si impozitele,facilitati fiscale pentru plata in avans a impozitelor
taxe si impozite prea mari,reducerea taxelor,servicii publice
Prea multe taxe,Asi reduce taxele.,"Servicile publice administrativa, servicii de protectie sociala, etc."
"Se pierd foarte multi bani fara a fi investiti in ceva bun.
",As reduce din impozite.,Foarte multe taxe inutile
"Oamenii se tem de sistemul fiscal, lucru care după părerea mea nu ar trebui să fie așa, ci chiar dimpotrivă. Ar trebui să considere un lucru bun și ajutător.","Aș încerca să câștig încrederea angajațiilor, angajatorilor și firmelor din țară pentru că este un lucru foarte important.","Imi oferă dovadă, referitor la impozitele și taxele plătite de către muncitori, fiind renovate numeroase clădiri și se observă piețe în curs de amenajare etc.."
"- numarul mare de impozite si taxe
- schimbari legislative frecvente
","- acordarea unor facilitati tinerilor care vor sa inceapa o afacere
- alocatii mai mari pentru copii
- un sistem de pensii mai echilibrat
- acordarea mai multor burse sociale
","- asigura finantarea domeniului de utilitate publica (scoli, sanatate, institutii publice, etc.)
- asigura protectie sociala"
Tot.,Banii.,Nimic.
Statul uneori in loc sa te ajute precum in alte state cum e in norvegia se comporta cu o firma ca si cu un copil daca vede ca nu te descurci te lasa in pace o vreme pana iti revii apoi vei plati iar taxe nu vor sa piarda pe cei care ofera locuri de munca si platesc taxe,firmele mari sa plateasca impozit pe venit si cele mici si mijlocii pe profit,"cam nimic important, minimul din ce ar fi normal intr-un stat "
-incertitudinea; se schimba de la zi la alta,"reducerea numarului de taxe si impozite
incuranjarea investitiilor ",o reducere a cotei de impozit 
"Faptul că nu se exprimă public toate cheltuielile și veniturile reale ale statului, astfel consideram ca contribuim mult la formarea venitului și rezultatele cheltuirii acestora sunt mici și puține.","De exemplu, scaderea TVA-ului nu e tocmai benefică pentru stat și nici pentru cetățeni prea mult, ci mai degrabă pentru societățile comerciale plătitoare de TVA ce în locul procentajului de 4℅ TVA dinainte, au crescut cu acest procentaj adaosul lor comercial. Astfel consider ca acesta modificare nu aduce avantaje nici statului nici cetățenilor prea mult deoarece prețurile produselor și a serviciilor nu au prea scăzut.
Iar în legătură cu creșterea salarului minim pe economie nu consider ca e o nevoie acest lucru deoarece această modificare va atrage după ea și creșterea prețului traiului zilnic.",Facilitați școlare
"superficialitatea lor, taxele si impozitele sunt din ce in ce mai mari, si se pun taxe si impozite pe cat de multe lucruri",e greu sa schimbi tot sistemul fiscal din cauza celor care au stricat deja totul in primul rand as taia raul de la radacina as da tot personalul afara ,"nimic, dimpotriva ne ia totul, imediat si aerul  !!!"
-,-,-
Modificarea desa a valorii impozitului,Valoarea,O multitudine de taxe
Taxa timbrului de mediu auto,As modifica impozitele si taxele in funcție de puterea cetățenilor de a le plăti. Cei săraci sa plătească mai putin si invers. ,Toate serviciile publice
Prea multe taxe,As scoate din taxe,Multe taxe si impizite
Nimic,Pentru moment l-as lasa asa cum este,Stabilitate financiara
Credibilitatea,Transparenta,"Indirect, sustine crearea locurilor de munca pentru tineri"
Taxele de consumatie(accizele) ridicate la carburanti,As reduce nivelul supra accizei la carburanti,Neincredere in cei care il conduc
 , , 
faptul că un contribuabil cinstit suporta costul social al evaziunii fiscale,"as schimba intregul sistem fiscal, de calcul a taxelor si impozitelor",imi ofera servicii publice
Cheltuirea iresponsabila a fondurilor culese de la cetateni.,Raspunsul este evident din intrebarile anterioare.,"Nu prea multe . Lipsurile sunt clare si evidente peste tot in jurul nostru. De la drumuri si sosele,la locuri de munca."
Am impresia ca banii din buget reprezentând colectarea taxelor și impozitelor se duc pe apa sâmbetei.,Cu siguranță o mai bună încasare a taxelor și a impozitelor. Reducerea evaziunii fiscale. Reducerea birocrației,Taxe și impozite mult prea mari pentru o țară ca România.
Impozite si taxe mari,-,-
"Taxele si impozitele prea mari 
Nu beneficiem de serviciile publice pe care le platim , asa cum ar trebui
Functionarul public nu are competentele necesare pentru a interactiona corect cu contribuabilu
Administratiile financiare sunt ineficiente, se incurca in proceduri si nu comunica intre ele.
Proceduri  complicate pentru deducerea TVA","Simplificarea legislatiei si a raportarilor fiscale,  implementarea unui mod de calcul simplu si usor de inteles atat pentru contributiile sociale, cat si pentru impozite si taxe.
 Reducerea TVA si a contributiilor sociale precum si simplificarea procedurilor de inregistrare in scop de TVA
As incerca sa ofer mai multe locuri de munca, servicii publice de calitate","Birocratie excesiva,numar mare de taxe si impozite fiscale,proceduri  complicat"
"Instabilitatea taxelor și impozitelor, nestimularea contribuabilului de a-și achita datoriile sale față de stat, necrearea unei baze de date care să urmărească activitatea fiecărui contribuabil pentru a identifica mai ușor eventualele sustrageri de la plată, ilegalități și neimplicarea activă a statului în aplicarea de sancțiuni pentru cei care nu își îndeplinesc obligațiile față de stat.","Încurajarea muncii sau crearea de noi locuri de muncă prin impozitarea mai mică. Poate ar trebui sa se aplice taxe și impozite mai mici în general, pentru a vedea daca ar crește numărul contribuabililor care își achita datoriile față de stat sau aplicarea unor sancțiuni dure bazate pe controale efecutate cât mai des pentru a fi descurajat să comită ilegalității sau sustrageri.
In ceea ce privește parte pozitivă banii colectații în venituirile statului ar trebui investiți în principal în domeniile cele mai vizibile și accesibile omului pentru ca acesta sa aibă încredere că taxele pe care le plătește îi asigură un confort, cum ar fi infrastructură, sănătate.","Nu oferă, doar cere taxe și impozite, care nu sunt investite nici în infrastructură, nici în domeniul sănătății și nici în alte domenii sau și daca există investiții din aceste venituri colectate ele sunt foarte puțin vizibile."
sistemul fiscal romanesc necesita reformare suplimentara,nu stiu,multe taxe 
neegalitatea,introducerea unor cote diferentiate pentru impunerea profitului si a veniturilor de orice natura ,"in momentul de fata este plina de contradictii, deci exista rost de mai bine"
Taxele nu sunt colectate de la marii evazionisti...,Scaderea cotelor de taxe si impozite,"Nimic... Desi in ultima perioada se doreste eficientizarea colectarii taxelor, banii colectati nu se vad in investitii, de exemplu infrastructura( drumuri proaste, lipsa autostrazilor etc)"
Ipocrizia si asa zisa neputinta (indusa) sau delasarea organelor fiscale.,"Clarificarea si armonizarea legilor si taxelor. Crosetarea lor pentru cerintele antreprenorului de rand roman si a contribuabililor, pornite de la baza sistemului pana la varful piramidei si nu decizii luate din pix pe proiecte facute pe genunchi de diferite personalitati care nu   
au tangenta cu realitatea actuala.","Cu cateva ajustari, chiar perspectivele unui viitor mai bun in tara."
"ca nu sprijina agricultura, ca nu diminueaza marimea importurilor si ca nu sustine antreprenorii romani","as modifica cotele impozitelor si as face mai transparent modul de cheltuire a veniturilor,astfel populatia ar avea incredere si ar plati impozitele,s-ar reduce evaziunea fiscala","obligatia de a plati taxe si impozite, adica are multe deficiente"
"La impozitul total pe profitul companiilor, România are o cotă situată sub media europeană. ",As diminua impozitele pe salarii,taxe mari pentru persoanele fizice
Taxele care sunt prea mari.,"As reduce din taxe si impozite, sau cel putin le-as micsora.",Activitățile medicale oferite gratuit.
"Taxele și impozitele mari raportate la veniturile din România, mai ales raportate la salariul minim pe economie.","Consider că ar fi ideal să fie impozitele mai mici, în special impozitul/venit deoarece o mare parte a populației trăiește dintr-un salariu minim pe economie ( iar salarul net este foarte mic ).","Tinand cont de faptul că nu am niciun venit si nu platesc taxe si impozite, as putea spune ca nu am o ”relatie” cu sistemul fiscal."
Taxele și impoxitele ridicate,Aș reduce taxele,Nimic. Puțină dezvoltare socială
scad pe de o parte unele taxe si cresc pe de alta parte altele,As schimba  cota unica de impozitare a veniturilor in impozitarea progresiva,Dupa parerea mea noi suntem cei care oferim mai mult sistemului fiscal decat beneficiile pe care ni le ofera acest sistem
"Taxe prea mari platite de contribuabili, care nu se reflecta foarte mult in serviciile oferite de stat pentru cetatean.",Modul de organizare si de colectare a taxelor. De exemplu cota impozitului pe profit sa difere in functie de marimea bazei impozabile.,O stabilitate destul de relativa avand in vedere modificarile dese ale reglementarilor Codului Fiscal. 
Taxe și impozite prea mari.,"Mai multă transparență, predictibilitate, adică o bună stabilitate. Mai puțină birocrație. O încurajare a investițiilor și chiar diminuarea cotelor taxelor. ",Protecție socială. 
Nu stiu ...,"Scaderea TV, ajutarea tinerilor antreprenori mai mult si un control mai riguros.",Pana acum nimic ?
"-impozitul pe TVA este foarte mare comparativ cu alte țări din UE
-instabilitatea cadrului legislativ privind sistemul fiscal
-lipsa unui dialog coerent între autoritățile fiscale și contribuabili
-plata unor impozite fără a benificia ulterior de serviciul aferent impozitului","-aș reduce cotele de impozit care au un efect negativ asupra investițiilor.
-aș acorda facilități fiscale care să ofere un avantaj real contribuabilui.
-aș introduce un sistem fiscal bazat pe sistemele informatice
-aș reduce impozitele aferente stimulării consumului intern
-aș reduce numărul de taxe și plățile aferente","-o cotă redusă a impozitelor directe comparativ cu U.E
-scutirea de taxe și impozite pentru anumiți contribuabili 
-amenzi mari pentru neplata obligațiilor fiscale
"
"Ar fi bine dacă banii pe care le plătim,adică banii ce se colectează din TVA ar uilizaţi mai mult pentru binele nostru, mai multe dezvoltări în cadrul firmelor autohtoni şi nu a firmelor străini. Pur şi simplu ar trebuie suportaţi cetăţenii români mai mult, din banii lor.","Dacă ar fi ministrul finanţelor publice aş schimba impozitul pe clădiri şi şi pe salariu pentru a îmbunătăţi starea financiară a muncitoriilor, dar şi a ivnesti banii de buget în înbunătăţirea spitalelor, dar nu şi a bisericiilor din românia.",Informaţii utile din codul fiscal! :)
NU ESTE STABIL SI DIN ACEST MOTIV NU OFERA INCREDERE.,"L-AS RESTRUCTURA PENTRU A FI MAI SIMPLU, CONCIS SI SA NU POATA FI INTERPRETABIL.",DIVERSE INFORMATII CU PRIVIRE LA TEMA FISCALITATII.
Faptul ca este instabil.,Codul fiscal l as schimba astfel incat sa fie mai stabil si credibil in acelasi timp pentru utilizatori.,"Sistemul fiscal ofera o instabilitate, datorita mdificarilor dese."
-,-,-
conducerea si unele legi confuze,"cotele, modul de administrare a  finantelor ",o anumita siguranta care in foarte multe cazuri se transforma in confuzie
"Faptul că este dezorganizat și că nu este transparent pentru public. Aceste taxe și impozite ar trebui detaliate în parte pentru fiecare plătitor care necesită imformații deste ele, dar să fie și credibile, rezonabile, accesibile și realiste.
",Aș face tot mai transparent precum si realist și accesibil pentru toaă lumea. Mai exact aș modifica tot ceea ce am scris la punctul anterior.,"Impozite și taxe ce trebuie plătite. Apoi facilități, care sunt sau nu vizibile."
Taxele prea mari si prea multe,Nu sunt in masura sa imi exprim opinia in problema aceasta.,"mie, personal, nimic."
Lipsa facilitatilor pentru investitori.,"L-as restructura din temelii, pe modelul unor state cu sisteme fiscale eficiente. As face asta prin comparatie.",In opinia mea prea multe obligatii si prea putine facilitati.
Nu este o transparenta satisfacator in sistemul fiscal si evaziunea fiscala e prea rificata in tara noastra.,as face o remodelare in sistem ,sistemul fiscal actual ne ofera momentan un sistem complicat pe care e greu de urmarit. 
Cuantumul mare al taxelor,As lua exemplu de la statele dezvoltate,Instabilitate
"Prea multe taxe si impozite, si prea mici salariile.",As mari salariile .,Nesiguranta.
Ca platesc taxe si nu vad nici o schimbare in bine ,As relaxa sistemul de taxe ptr micii întreprinzători si sa se recupereze datoriile de la marii contribuabili,Nimic
Faptul ca nu e transparent si nu este organizat cum trebuie.,"Da, dar nu in totalitate. Sistemul fiscal romanesc are si parti bune, dar si parti rele. Pe cele rele le-as imbunatati.",Nu prea multe. Mai mult ia decat ofera.
"Platim taxe si impozite dar nu ma simt in siguranta pe strada adica serviciul de securitate ma nemultumeste,prea multa birocratie(timpul costa bani si nu mi se pare normal sa astept o saptamna pentru o adeverinta de la ANAF),drumurile publice sunt intr-o stare deplorabila dar platim taxe si impozite,in concluzie as vrea sa vad ca banii pe care ii platim sunt investiti in servicii si bunuri durabile si de calitate.","As acorda un mai mare procent de finantare educatiei si santatii,as realiza o mai buna coordonare intre institutiile finantelor publice,adica as investi in sisteme informatice pt a le usura munca atat functionarilor cat si cetatenilor platitori de taxe si impozite.",Finanteaza serviciile publice si incaseaza taxe si impozite de la contribuabili.
"Multitudinea de taxe si impozite neadaptate la conditiile reale de trai din Romania, uneori aceste taxe depasesc nivelul minim salarial si suntem in imposibilitatea de a plati.","Momentan nu detin cunostintele necesare incat sa imi pot propune modificari de asemenea impact, dar as convoca mai multe sedinte la care sa participe economisti - inclusiv cadre universitare dar si oameni de afacere si impreuna sa se gaseasca o solutie avantajoasa atat pentru stat cat si pentru cei implicati direct in procesul economic.Ministrul finantelor publice ar trebui sa fie o persoana cu studii in acest domeniu si nicidecum o persoana fara studii,numita politic la fiecare 6 luni de cate un partid politic.Din punctul meu de vedere este nevoie de o continuitate pentru a pune pe picioare un sistem fiscal eficient.
Revenind la intrebarea initiala, eu probabil as propune ca taxele si impozitele sa fie calculate pe masura veniturilor companiei, nu mi se pare corect ca o companie cu 10 angajati sa plateasca acelasi impozit pe venit comparativ cu o companie care are mii de angajati","Avand in vedere faptul ca lucrez in sistemul bugetar, parerea mea este ca toate taxele si impozitele care imi sunt retinute pe baza salariului, sunt folosite pentru a-mi asigura diverse beneficii actuale precum gratuitate la medicamente sau sunt folosite pentru beneficii pe termen lung ( exemplu contributia la fondul de pensii )"
Nimic,Momentan nu stiu ce schimbari as putea face.,Nimic
"Ma nemultumeste faptul ca nu se pune accent pe creearea a mai multe locuri de munca, scaderea taxelor si impozitelor","As scadea taxele si impozitele,as demara cat mai multe proiecte si as incerca sa scad rata somajului","Anumite facilitati publice, posibilitatea de a contribui la dezvoltarea mai multor facilitati comune prin contributia din salar"
"Modificarile fiscale aduse peste noapte .
Numarul mare de taxe .
Evaziunea fiscala .
","Asi incerca sa  simplific legislatia si  raportarile fiscale,  implementarea unui mod de calcul simplu si usor de inteles atat pentru contributiile sociale, cat si pentru impozite si taxe. ","Parerea mea este ca ,Sistemul Fiscal ne ofera o multime de taxe si impozite pentru a genera venituri statului . "
Câ se schimbă de la o zi la alta.,Aş reduce taxele şi impozitele şi aş face tot posibilu să modific ceva pentru a le face oamenilor traiul mai uşor .,Nimic.
"1.Functionarul  public nu are competentele necesare.
2.Birocratia excesiva 
3.Numarul mare de taxe fiscale si parafiscale.
4.Nivelul mare al taxelor.
5.Evaziunea fiscala.
6.Proceduri  complicate.
7.Lipsa unui cadru legislativ predictibil.
","Simplificarea legislatiei și a raportarilor fiscale, implementarea unui mod de calcul simplu și usor de înteles atât pentru contribuțiile sociale, cât și pentru impozite și taxe.Eliminarea exceptiilor legate de tratarea din punct de vedere fiscal a diferitele tipuri de venituri PFA, DDA, s.a....

O Analiză și revizuirea sistemului de taxe urmată de o reducerea numarului taxelor va duce la scaderea costurilor de administrare,ceea ce înseamnă economii la buget.

As-i scădea TVA la 19-20%.Cât și scaderea cotei contributiilor sociale CAS angajat si angajator la 8%, respectiv la 15,5%, pentru conditii normale de munca si scaderea impozitului pe dividende la 5%.","Sunt destul de puține beneficii la momentul actual al sistemului fiscal din pacate eu nu simt ca beneficiez cum ar trebuie de accestea iar daca tot vine vorba de beneficii am să numesc câteva:

Beneficierea de indemnizație de șomaj sau de alocație de sprijin.
CAS,CASS, și cheltuielile publice."
Modificarea deasă a taxelor si impozitelor.,"As modifica birocrația, reducand-o.","Sistemul fiscal imi ofer posibilitatea de a contribuii pentru nevooile statului, care ulterior imi ofera diferite servicii."
instabilitatea,diminuarea taxelor,o gramada de taxe ce trebuiesc platite
Taxe și impozite mari.,TVA și la nealimentare,"Reducerea la unele servicii. Cum ar fi școlarizarea , transportul , sănătatea ."
Ceea ce mă nemulţumeşte la sistemul fiscal românesc este faptul că banii din impozite şi taxe plătite de contribuabili nu sunt distribuite pentru lucrurile necesare unui oras sau judet. ,Daca aş fi ministerul finanţelor publice aş schimba sistemul de recuperare a datoriilor către stat şi nu aş aproba stingerea datoriilor marilor companii. ,Sistemul fiscal actual îmi oferă un cadru legal de desfăşurare a activităţii în care m-am specilizat.
Taxele și impozitele exagerat de mari dar și procedurile complexe de plată ale acestora.,Aș scădea cotele impozitelor și taxelor.,O viață gra ca economist.
Faptul ca se afla intr-o continua schimbare.,As incuraja investiiile prin diminuarea cotelor taxelor.,Taxe si impozite de platit
"Eu consider că România are, în ceea ce privește fiscalitatea, un mecanism lipsit de predictibilitate, un aparat fiscal birocratic, lucru care nu produce efecte benefice țării noastre.
Un alt aspect negativ, în ceea ce privește fiscalitatea în România, este lipsa de stabilitate a acestuia. Eu consider că, în condițiile în care legea în România se schimbă ”de la o zi la alta”, este aproape imposibil ca întreprinderile, companiile să se poată adapta cu ușurință și să răspundă prompt la aceste schimbări. Acest lucru, duce după părerea mea la îngreunarea colectării veniturilor publice din taxe și impozite.
Un alt lucru care mă nemulțumește la sistemul fiscal românesc este această continuă jonglare cu taxele și impozitele. De multe ori am asistat la desființarea unei anumite taxe, sau a unui anumit impozit, acest lucru fiind urmat însă de introducerea altora, sau majorarea celor existente. Consider că acest lucru dovedește lipsa de profesionalism și stabilitate a sistemului fiscal în ochii românilor, fapt ce determină și această îngreunare onorării acestor obligații la care cetățeanul este supus.Toate aceste lucruri duc la dispariția încrederii din partea contribuabililor față de sistemul fiscal.
Pe de altă parte, cred că sistemul fiscal din România ar trebui să fie mult mai transparent, în ceea ce privește problema cheltuielilor publice. ","Dacă aș avea posibilitatea să schimb ceva în ceea ce privește sistemul fiscal din România, m-aș axa în primul rând asupra problemei amintite mai sus, legată de informarea agentului economic cu privire la obligațiile la care acesta trebuie să răspundă, cât și la stabilirea unui sistem de legi stabil, clar, care să nu trebuiască să fie supus schimbărilor atât de frecvent.
În al doilea rând aș încerca să expun alocarea resurselor bugetului statului cu o mai mare transparență față de contribuabili.
","Sistemul fiscal actual, oferă sau ar trebui să ofere, baza, susținerea și realizarea veniturilor publice, necesare efectuării cheltuielilor publice  de care un stat democratic are nevoie. Însă din păcate sistemul fiscal este înconjurat de o birocrație excesivă, un număr mare de taxe și impozite, un sistem ce plasează încurajarea investițiilor pe un plan secund, și o relaționare ineficientă între contribuabili și  autoritățile fiscale."
Impozitele si taxele prea mari.,Stabilitatea si transparenta sa fie mai mare.,"Pensii, iluminarea strazilor, dezvoltarea infrastructurii."
Tot.,Tot.,Nimic.
coruptia,-,"-servicii de proasta calitate
-salarii mici"
Foarte multă corupție.,Tot . Aş lua drept exemplu sistemul fiscal din Germania  .,Nimic
"Prea multe persoane , care nu fac nimic sa fie mai bine ..","Sa nu mai avem asa multe taxe , impozitele sa nu fie asa mari, intr-u cat sa fie mai bine pentru tara.",Nu prea multe.
Taxele si impozitele prea mari,As reduce unele taxe si impozitele,Sustinere pentru a realiza obiective
Sistemul românesc este unul slab în comparație cu sistemul altor țări.,"Dacă aș fi ministrul finanțelor aș încerca să fac un sitem mai bun, mai perfecționat. Sistemul fiscal românesc din România are nevoie de mai multă stabilitate, transparenţă şi predictabilitate.",Sistemu fiscal actual oferă toatalitatea impozitelor plătite de persoanele fizice sau juridice române.
Mă nemulțumește lipsa organizării a sistemului fiscal.," Sistemul fiscal românesc are nevoie urgent de o schimbare și primul lucru pe  care l-aș face dacă  aș fi ministrul finanțelor publice ar fi  transparența în sistemul fiscal. Aș pune funcționari publici competenți, aș reduce numărul taxelor.","Sistemul fiscal actual oferă bază financiară, contribuie la stimularea bunei desfășurări a agenților economici, oferă control al resurselor financiare."
impozitele,reducerea impozitelor,nimic
Sunt prea multe taxe și impozite după părerea mea mai bine ar fi mai puține dar mai ridicate. Adică sistemul fiscal să primească la fel de mulți bani și cu mai puține taxe.,"Părera mea este că ar fi mai bine ca salariatul să vadă exact câți bani cheltuie o firmă cu plata salariului acestuia, să nu mai fie nevoită firma să plătească și ea contribuții separate pentru acelaș-i salariat.",Am observat că unul din beneficiii este că poți să îți plătești impozitele online.
"Valoarea impozitelor mult prea ridicata, birocratia excesiva.","Reducerea birocratiei, scaderea taxelor si impozitelor, asigurarea predictibilitatii si transparentei politicii fiscale, stimularea investitiilor.","Nu foarte multe; bugetul statului fiind impartit superficial, adica noi nu beneficiem de servicii de calitate, aferente valorii impozitelor, banii nefiind folositi pentru imbunatatirea sistemului medical sau a infrastructurii țării."
Taxele ridicate care nu stimulează crearea de noi afaceri si care l rândul ei determina evaziunea fiscală intr-o măsura foarte mare ,"Impozitele, taxele si dupa o analiza mai amănunțită mult mai multe ",Nu oferă mai nimic 
taxele si impozitele mari raportate la salariile din Romania ,As scadea taxele si imozitele si as mari amenzile ,Protectie 
Taxe mult prea mari,taxa auto,nimic
